,region,gridX,gridY
0,María Pinto,1,2
1,San Pedro,0,5
2,Independencia,5,1
3,La Florida,8,4
4,Lo Barnechea,8,0
5,Lo Espejo,4,4
6,Lo Prado,3,2
7,Pedro Aguirre Cerda,4,3
8,Pudahuel,2,2
9,San Joaquín,6,3
10,San Ramón,6,4
11,El Monte,1,3
12,Isla de Maipo,3,6
13,Talagante,2,5
14,Colina,7,0
15,Lampa,2,1
16,Tiltil,2,0
17,Pirque,6,6
18,Puente Alto,7,5
19,San José de Maipo,9,4
20,Buin,5,6
21,Paine,4,6
22,San Bernardo,4,5
23,Alhué,2,6
24,Curacaví,1,1
25,Calera de Tango,3,5
26,Melipilla,1,4
27,Cerrillos,3,3
28,Cerro Navia,3,1
29,Conchalí,5,0
30,El Bosque,5,5
31,Peñalolén,8,3
32,Providencia,6,2
33,Quilicura,3,0
34,Vitacura,7,1
35,Padre Hurtado,2,3
36,Quinta Normal,4,1
37,Recoleta,6,1
38,Renca,4,0
39,San Miguel,5,3
40,Santiago,5,2
41,Huechuraba,6,0
42,La Cisterna,5,4
43,La Granja,7,4
44,La Pintana,6,5
45,La Reina,8,2
46,Las Condes,8,1
47,Macul,7,3
48,Maipú,3,4
49,Ñuñoa,7,2
50,Peñaflor,2,4
51,Estación Central,4,2
